location_id,city,state,country,latitude,longitude
1,ramona,ca,us,33.0416667,-116.8672222
2,redondo beach,ca,us,33.8491667,-118.3875
3,manchester,nh,us,42.9955556,-71.4552778
4,kalamazoo,mi,us,42.2916667,-85.5872222
5,troy,ny,us,42.7283333,-73.6922222
6,montara,ca,us,37.5422222,-122.515
7,cumming,ga,us,34.2072222,-84.1402778
8,mcdonough,ga,us,33.4472222,-84.1469444
9,oakland,or,us,43.4222222,-123.2972222
10,finleyville,pa,us,40.2522222,-80.0030556
11,hogansville,ga,us,33.1730556,-84.915
12,huntington beach,ca,us,33.6602778,-117.9983333
13,norman,ok,us,35.2225,-97.4391667
14,rogers,mn,us,45.1888889,-93.5527778
15,escondido,ca,us,33.1191667,-117.0855556
16,nanticoke,pa,us,41.2052778,-76.0052778
17,bellevue,wa,us,47.6105556,-122.1994444
18,wolcott,ct,us,41.6022222,-72.9872222
19,napa,ca,us,38.2972222,-122.2844444
20,orange park,fl,us,30.1658333,-81.7066667
21,lima,oh,us,40.7425,-84.1052778
22,bonaire,ga,us,32.5436111,-83.5961111
23,downingtown,pa,us,40.0063889,-75.7036111
24,addison,il,us,41.9316667,-87.9888889
25,union,ky,us,38.9458333,-84.6805556
26,homestead,fl,us,25.4683333,-80.4777778
27,green bay,wi,us,44.5191667,-88.0197222
28,clarksville,tn,us,36.5297222,-87.3594444
29,pell city,al,us,33.5861111,-86.2861111
30,syracuse,ny,us,43.0480556,-76.1477778
31,brownwood,tx,us,31.7091667,-98.9908333
32,oologah,ok,us,36.4469444,-95.7080556
33,augusta,ks,us,37.6866667,-96.9763889
34,carthage,tn,us,36.2522222,-85.9516667
35,texas city,tx,us,29.3836111,-94.9025
36,new gloucester,me,us,43.9627778,-70.2830556
37,grand junction,co,us,39.0638889,-108.55
38,harlan county,ky,us,36.8430556,-83.3219444
39,williamsville,ny,us,42.9638889,-78.7380556
40,mackay,id,us,43.9147222,-113.6125
41,kaneohe,hi,us,21.4180556,-157.8036111
42,altamonte springs,fl,us,28.6608333,-81.3658333
43,warsaw,mo,us,38.2430556,-93.3816667
44,brinktown,mo,us,38.1266667,-92.0844444
45,mesa,az,us,33.4222222,-111.8219444
46,hayward,wi,us,46.0130556,-91.4844444
47,savage,mn,us,44.7791667,-93.3361111
48,montezuma,in,us,39.7927778,-87.3708333
49,waterloo,ia,us,42.4927778,-92.3427778
50,san juan,tx,us,26.1888889,-98.155
51,watertown,ny,us,43.9747222,-75.9111111
52,boulder,co,us,40.015,-105.27
