sighting_id,datetime,location_id,shape_id,duration_seconds,duration_text,comments,date_posted
1,10/10/1949 20:30,603,21,2700,45 minutes,This event took place in early fall around 1949-50. It occurred after a Boy Scout meeting in the Baptist Church. The Baptist Church sit,4/27/2004
2,10/10/1956 21:00,760,8,20,1/2 hour,My older brother and twin sister were leaving the only Edna theater at about 9 PM...we had our bikes and I took a different route home,1/17/2004
3,10/10/1960 20:00,41,18,900,15 minutes,AS a Marine 1st Lt. flying an FJ4B fighter/attack aircraft on a solo night exercise I was at 50000&#39 in a &quot;clean&quot; aircraft (no ordinan,1/22/2004
4,10/10/1961 19:00,192,4,300,5 minutes,My father is now 89 my brother 52 the girl with us now 51 myself 49 and the other fellow which worked with my father if he&#39s still livi,4/27/2007
5,10/10/1965 23:45,59,7,1200,20 minutes,A bright orange color changing to reddish color disk/saucer was observed hovering above power transmission lines.,10/2/1999
6,10/10/1966 20:00,29,7,180,3  minutes,Strobe Lighted disk shape object observed close at low speeds and low altitude in Oct 1966 in Pell City Alabama,3/19/2009
7,10/10/1966 21:00,597,7,120,several minutes,Saucer zaps energy from powerline as my pregnant mother receives mental signals not to pass info,5/11/2005
8,10/10/1968 13:00,84,8,300,5 min.,ROUND  ORANGE  WITH WHAT I WOULD SAY WAS POLISHED METAL OF SOME KIND AROUND THE EDGES .,10/31/2003
9,10/10/1968 19:00,232,9,180,3 minutes,silent red /orange mass of energy floated by three of us in western North Carolina in the 60s,6/12/2008
10,10/10/1970 16:00,291,7,1800,30 min.,silver disc seen by family and neighbors,5/11/2000
11,10/10/1970 19:00,699,2,180,3 minutes,Slow moving silent craft accelerated at an unbelievable angle and speed.,2/14/2008
12,10/10/1971 21:00,110,13,30,30 seconds,green oval shaped light over my local churchpower lines down..,2/14/2010
13,10/10/1972 19:00,38,8,1200,20minutes,On october 10 1972 myselfmy 5yrs.daughter2 neices and 2 nephews were playing tag in the back yard .When we looked over on the ridge,9/15/2005
14,10/10/1972 22:30,420,7,120,2 minutes,The UFO was so close my battery in the car went to zero amps stalling the engine turning off my lights and radio.,8/14/2007
15,10/10/1973 19:00,768,7,1800,20-30 min,Oh what a night &#33  Two (2) saucer-shaped glowing green objects and one (1) brilliantly glowing sphere gliding over the lake.,9/24/2003
16,10/10/1974 19:30,343,16,2700,45 minutes,Not sure of the eact month or year of this sighting but it was in the fall of 74 or 75. Was walking home around dusk and saw a bright l,8/10/1999
17,10/10/1974 23:00,378,18,1200,one hour?,The light chased us.,7/25/2004
18,10/10/1975 17:00,473,18,360,5-6 minutes,Several Flashing UFO lights over Charleston Naval Base in S.C.,2/14/2008
19,10/10/1976 20:30,353,13,60,1 minute,Three extremely large lights hanging above nearby trees.,2/7/2014
20,10/10/1977 12:00,655,16,30,30 seconds,i was about six or seven and my family and me were sitting next to a window at home eating when a type of dark ball hit the screen wind,2/24/2005
21,10/10/1977 22:00,261,18,30,approx: 30 seconds,HBCCUFO CANADIAN REPORT:  Pilot Sighting Of Unusual Light.,3/17/2004
22,10/10/1978 02:00,303,6,300,5min,A memory I will never forget that happened meny years ago.,2/1/2007
23,10/10/1979 00:00,696,5,900,15 minutes,1/4 moon-like  its &#39chord&#39 or flat side parallel to horizon  bright orange-red glow  completely silent no features.,4/16/2005
24,10/10/1979 22:00,149,13,180,3 minutes,My 2nd UFO sighting October 1979,8/5/2001
25,10/10/1979 22:00,645,2,1800,30mins.,very low clouds all different colorssearch lights were seen shining down out of the clouds on the houses and streets. this event was s,1/28/1999
26,10/10/1980 19:00,650,4,180,3 min,Sphere No lights  moving through neighborhoods above tree tops over busy streets in Houston in 1980.,4/16/2005
27,10/10/1980 22:00,384,2,300,5 minutes,Strange shape shifting craft of pure light energy.,10/28/2002
28,10/10/1980 23:30,3,18,300,3 to 5 min,A red glowing sphere stopped and watched me.,11/21/2010
29,10/10/1984 05:00,650,8,60,1 minute,2 experience with unkown,4/18/2012
30,10/10/1984 12:00,230,16,120,couple minutes,translucent football seen over city airport,10/7/2003
31,10/10/1984 22:00,122,15,20,15-20 seconds,Saw a hugh object in sky with lights intermittently placed not making any noise traveling north in the night sky.It had no real identif,8/10/1999
32,10/10/1988 18:00,106,20,600,10 minutes,A silent black triangular object with no lights moved over us as we walked our dog across a school playground.,8/7/2007
33,10/10/1988 21:00,36,2,120,few minutes,I&#39m still afraid to look at the sky at night.,1/10/2009
34,10/10/1988 22:00,52,18,60,1 minute,Three Stars Begin to Move Randomly Stop Change Direction Move Again And Then Vanish,7/16/2006
35,10/10/1988 22:45,193,2,2,2 sec.,Two adult witnesses are stunned by the sound of an object that streaks above the home they are in.,4/27/2004
36,10/10/1989 00:00,346,7,300,approx 5 min,Unidentified object on Mulholland Highway.,12/14/2004
37,10/10/1989 21:00,439,20,60,1 minute,A huge triangularly shaped silent object that blotted out 25 degrees of the sky lighted by four glowing points.,4/27/2004
38,10/10/1990 21:00,617,20,120,2 minutes,Translucent Craft that makes No Sound While Moving,10/8/2007
39,10/10/1991 22:00,306,2,1800,30 minutes,A friend and myself were standing on the shore of the Pamlico sound as we observed 4 objects moving in up and down motions for about 30,1/28/1999
40,10/10/1991 22:00,666,20,600,10 minutes,We observed 3 triangular shaped high speed objects&#33,5/9/2003
41,10/10/1992 17:00,733,15,3600,1 hour(?),During a road trip to Panama City a friend and I witnessed a pair of luminous light formations appear and dissappear over the Gulf.,1/28/1999
42,10/10/1992 18:00,751,2,10,10 seconds,A man emerges from a beam of light that shines on a grassy field at night and he runs towards the Texas Instruments parking lot.,4/18/2012
43,10/10/1992 20:15,418,10,60,1min. 39s,Stationary Elongated UFO 200ft above vacant field with city lights on bottom,10/31/2008
44,10/10/1992 22:00,677,2,30,30 seconds,Black or dark grey.  Too big too low too slow too quiet for a normal aircraft.,9/2/2005
45,10/10/1993 22:00,111,18,8,8 seconds,Light over Peoria IL that moves slowly stops in mid-air hovers changes colors shoots in opposite direction and disappears.,10/11/2005
46,10/10/1993 23:00,34,16,60,less than 1 min,1 object with green and red lights,3/21/2003
47,10/10/1994 18:30,210,6,120,2 minutes,Giant rectangular craft (resembling an upside-down aircraft carrier) over highway near Saratoga NY.,10/23/2013
48,10/10/1994 22:00,461,18,5,5 seconds,Round bright low flying object silently speeds West of Arkansas town at 11:30pm 10/10/94.,2/18/2001
49,10/10/1996 03:20,661,20,3,3sec,illuminated triangular craft flying at high speed from South to North,2/16/2000
50,10/10/1996 22:00,704,18,300,5 min,Flashing object above Charleston SC,11/26/2003
51,10/10/1996 22:30,94,21,60,1 minute,Looked like it went through the hillside,7/8/2004
52,10/10/1997 16:00,483,19,14400,4 hours,3 differants types  cluster delta  and one in a 3 pointed star design . followed it for six miles .,1/28/1999
53,10/10/1997 17:00,45,4,30,30 seconds,A small dark purple quad-thruster craft hovering 200-300 feet in the sky. 500 Lights On Object0: Yes,2/14/2008
54,10/10/1997 20:00,22,20,300,<5 minutes,Triangular Object Sighted at Very Close Range,2/1/2007
55,10/10/1997 21:00,698,16,3600,1-hour,i was traveling northbound on state highway 105 approximately 8 miles south of Austin MN when an object came down directly above my car,1/28/1999
56,10/10/1998 02:30,56,1,300,5 minutes,I was standing outside on Sunset Blvd. at Vine and looked straight up which I normally do not do. I saw three bright white lights in a,11/1/1998
57,10/10/1998 03:30,285,9,15,10 to 15 sec,bright green moving north to north east. it was bright green and kinda clear. quite fast too.,2/16/1999
58,10/10/1998 13:15,703,21,1800,30 +/- min,While looking up at sky I noticed a bright light hovering above the sky. then I noticed a jet airliner traveling in the same area and I,11/1/1998
59,10/10/1998 17:30,160,10,600,10 minutes,White vertical cigar shape floating around in the eastern sky.,11/1/1998
60,10/10/1998 17:30,160,8,2700,45min.,Ufo sighting in las vegas near Area51,8/30/1999
61,10/10/1998 20:30,108,20,600,10 minutes,Dark boomerange object seen for ten minutes hovering over the freeway with a bright light out the front that lit up the fields. No jet,8/5/2001
62,10/10/1998 20:50,393,18,2,2 seconds,Star gazing in back yard with telescope and binos. Saw shooting star and an oblong shape of light.,11/1/1998
63,10/10/1998 23:50,424,9,15,15 seconds,I came home from work one night and I seen a bright fire like ball go across the top ofthe mountain and it was going fast then it stopp,3/21/2003
