case_id,datetime,location_id,shape_id,classification,radar_confirmed,credibility_score,threat_level,investigation_status,assigned_agent,radiation_detected,electromagnetic_anomaly,altitude_est_meters,speed_est_kmh,witness_count,military_witness,photos_collected,samples_collected,notes
NASA-2003-1147,11/19/2003 22:25,157,19,Class-II Aerial Phenomenon,True,8.7,Medium,Closed,Agent Martinez,False,True,2400,Unknown,12,False,3,0,Multiple witnesses reported formation of lights. Electromagnetic interference confirmed by local radio station.
NASA-2007-0115,1/15/2007 20:00,75,9,Class-I Unidentified,False,6.2,Low,Closed,Agent Thompson,False,False,Unknown,Unknown,1,False,0,0,Single witness account. Likely atmospheric phenomenon but radar data inconclusive.
NASA-1968-1210,12/10/1968 00:30,75,16,Class-III Close Encounter,True,9.8,Critical,Open,Agent Blackwood,True,True,10,0,1,True,8,3,Subject reported craft hovering directly overhead. Radiation traces detected at scene. Military clearance required.
NASA-2013-1810,12/10/2013 18:00,157,9,Class-I Unidentified,False,7.1,Low,Closed,Agent Chen,False,True,3500,Unknown,2,False,4,0,Bright stationary lights observed for extended period. EMF anomalies recorded.
NASA-2014-0331,3/31/2014 01:00,157,20,Class-II Aerial Phenomenon,True,8.3,Medium,Active,Agent Rodriguez,False,True,1800,450,2,False,1,0,Cigar-shaped object with luminescent trail. Radar contact confirmed by regional ATC.
NASA-2010-0704,7/4/2010 22:58,157,11,Class-II Aerial Phenomenon,True,9.1,High,Closed,Agent Washington,False,True,800,85,4,False,6,1,Large triangular craft with multiple light sources. Soil samples collected show unusual mineral composition.
NASA-2002-0709,7/9/2002 23:45,75,11,Class-II Aerial Phenomenon,False,7.6,Medium,Closed,Agent Mitchell,False,True,1200,Unknown,3,False,2,0,Triangle formation observed by multiple witnesses. Electronic devices malfunctioned during sighting.
NASA-2003-1015,10/15/2003 20:30,54,16,Class-I Unidentified,True,6.8,Low,Closed,Agent Harper,False,False,2200,320,1,False,0,0,Dark disc-shaped object tracked on weather radar. Visual confirmation limited.
NASA-2000-1029A,10/29/2000 17:25,54,4,Class-II Aerial Phenomenon,False,8.9,Medium,Closed,Agent Reeves,True,False,15000,8500,7,False,2,0,Descending object with green luminescence. Spectral analysis suggests unusual combustion signature.
NASA-2001-1029B,10/29/2001 22:00,54,4,Class-II Aerial Phenomenon,True,8.1,Medium,Closed,Agent Reeves,False,True,12000,Unknown,5,False,0,0,Multiple reports of luminous object. Pattern consistent with NASA-2000-1029A incident.
NASA-1998-1004,10/4/1998 04:42,54,4,Class-II Aerial Phenomenon,True,9.3,High,Closed,Agent Winters,True,True,25000,Unknown,8,True,1,2,High-altitude explosion detected by NORAD. Debris recovered shows non-terrestrial isotope ratios. Classified.
NASA-1956-1115,11/15/1956 18:30,104,6,Class-I Unidentified,False,7.4,Low,Closed,Agent Reynolds,False,False,Unknown,Unknown,1,True,0,0,Cylindrical object with orange luminescence. Military observer credible but no physical evidence.
NASA-2009-1231,12/31/2009 23:00,104,19,Class-II Aerial Phenomenon,False,6.9,Low,Closed,Agent Cole,False,False,Unknown,Unknown,6,False,5,0,Formation of orange spheres. Likely Chinese lanterns but trajectory analysis inconclusive.
NASA-2014-0202,2/2/2014 20:00,54,18,Class-I Unidentified,True,7.2,Medium,Closed,Agent Foster,False,True,1500,120,4,False,3,0,Four cross-shaped objects in synchronized flight. Radar signatures anomalous.
NASA-2002-0310,3/10/2002 03:00,165,11,Class-III Close Encounter,True,9.6,Critical,Open,Agent Blackwood,True,True,300,40,1,False,0,4,Witness employed at secure facility. Triangle craft observed at close range. Radiation exposure documented. Ongoing investigation.
NASA-2000-0329,3/29/2000 03:00,59,13,Class-I Unidentified,False,6.5,Low,Closed,Agent Murphy,False,False,Unknown,Unknown,1,False,0,0,Observation during astronomical viewing. Object characteristics inconsistent with known celestial bodies.
NASA-2004-0330,3/30/2004 15:30,100,11,Class-II Aerial Phenomenon,True,8.8,High,Active,Agent Sterling,False,True,5000,620,2,False,7,0,Large triangular craft with distinctive tailfin. Multiple radar contacts. Investigation ongoing.
NASA-2008-0411,4/11/2008 00:15,165,14,Class-I Unidentified,False,5.8,Low,Closed,Agent Park,False,False,Unknown,850,1,False,0,0,Fast-moving objects possibly formation of drones or experimental aircraft.
